Cancion,Album,year,month,day
"You're on Your Own, Kid",Midnights,2022,10,21
The Great War,Midnights,2022,10,21
High Infidelity,Midnights,2022,10,21
"Would've, Could've, Should've",Midnights,2022,10,21
Bigger Than the Whole Sky,Midnights,2022,10,21
Paris,Midnights,2022,10,21
Glitch,Midnights,2022,10,21
Dear Reader,Midnights,2022,10,21
right where you left me,Evermore,2020,12,11
it's time to go,Evermore,2020,12,11
the lakes,Folklore,2020,7,24
We Were Happy,Fearless,2021,4,9
Mr. Perfectly Fine,Fearless,2021,4,9
You All Over Me,Fearless,2021,4,9
Don't You,Fearless,2021,4,9
That's When,Fearless,2021,4,9
Bye Bye Baby,Fearless,2021,4,9
Hits Different,Midnights,2022,10,21
You're Losing Me,Midnights,2022,10,21
